ax,ay,az,prob1,prob2,prob3,movementLabel,infer_time
0.5603,-0.842,-0.771,0.3228,0.3485,0.3286,jalar,0.0
0.599,-0.7034,-0.7028,0.0365,0.0106,0.9529,reves,0.0
0.6454,-0.4916,-0.6157,0.0365,0.0106,0.9529,reves,0.0
0.6927,-0.3329,-0.4944,0.0365,0.0106,0.9529,reves,0.0
0.7882,-0.2808,-0.4071,0.0365,0.0106,0.9529,reves,0.0
0.8235,-0.2607,-0.3767,0.0365,0.0106,0.9529,reves,0.0
0.7802,-0.2638,-0.3884,0.0365,0.0106,0.9529,reves,0.0
0.8059,-0.3463,-0.4576,0.0365,0.0106,0.9529,reves,0.0
0.8035,-0.4491,-0.5724,0.0365,0.0106,0.9529,reves,0.0
0.7517,-0.5193,-0.6898,0.0365,0.0106,0.9529,reves,0.0
0.7954,-0.4937,-0.78,0.0365,0.0106,0.9529,reves,0.0
0.8419,-0.3871,-0.7383,0.0365,0.0106,0.9529,reves,0.0
0.8345,-0.3397,-0.6855,0.0365,0.0106,0.9529,reves,0.0
0.7916,-0.3462,-0.6276,0.0365,0.0106,0.9529,reves,0.0
0.7839,-0.3909,-0.562,0.0365,0.0106,0.9529,reves,0.0
0.8025,-0.4304,-0.5273,0.0365,0.0106,0.9529,reves,0.0
0.7476,-0.5,-0.5355,0.0365,0.0106,0.9529,reves,0.0
0.6945,-0.5522,-0.5195,0.0365,0.0106,0.9529,reves,0.0
0.6517,-0.597,-0.5186,0.0365,0.0106,0.9529,reves,0.0
0.6582,-0.6631,-0.5553,0.0365,0.0106,0.9529,reves,0.0
0.6909,-0.7211,-0.6407,0.0365,0.0106,0.9529,reves,0.0
0.6627,-0.7072,-0.6538,0.0365,0.0106,0.9529,reves,0.0
0.675,-0.6829,-0.6171,0.0365,0.0106,0.9529,reves,0.0
0.7091,-0.6331,-0.5637,0.0365,0.0106,0.9529,reves,0.0
0.7115,-0.5953,-0.5508,0.0365,0.0106,0.9529,reves,0.0
0.7052,-0.6335,-0.5525,0.0365,0.0106,0.9529,reves,0.0
0.6349,-0.6057,-0.5565,0.0365,0.0106,0.9529,reves,0.0
0.6238,-0.5688,-0.6108,0.0365,0.0106,0.9529,reves,0.0
0.6298,-0.5168,-0.6111,0.0365,0.0106,0.9529,reves,0.0
0.5931,-0.4869,-0.6245,0.0365,0.0106,0.9529,reves,0.0
0.5681,-0.4608,-0.6144,0.0365,0.0106,0.9529,reves,0.0
0.5835,-0.4578,-0.5801,0.0365,0.0106,0.9529,reves,0.0
0.6259,-0.4553,-0.5491,0.0365,0.0106,0.9529,reves,0.0
0.6478,-0.4719,-0.5454,0.0365,0.0106,0.9529,reves,0.0
0.6705,-0.5111,-0.5613,0.0365,0.0106,0.9529,reves,0.0
0.6959,-0.5587,-0.587,0.0365,0.0106,0.9529,reves,0.0
0.7134,-0.6091,-0.5634,0.0365,0.0106,0.9529,reves,0.0
0.744,-0.67,-0.5216,0.0365,0.0106,0.9529,reves,0.0
0.7665,-0.7198,-0.4841,0.0365,0.0106,0.9529,reves,0.0
0.7446,-0.7456,-0.4635,0.0365,0.0106,0.9529,reves,0.0
0.7092,-0.7786,-0.439,0.0365,0.0106,0.9529,reves,0.0
0.6978,-0.7971,-0.4005,0.0365,0.0106,0.9529,reves,0.0
0.6864,-0.7788,-0.3727,0.0365,0.0106,0.9529,reves,0.0
0.6896,-0.7368,-0.326,0.0365,0.0106,0.9529,reves,0.0
0.6813,-0.7335,-0.2527,0.0365,0.0106,0.9529,reves,0.0
0.6776,-0.7762,-0.1721,0.0365,0.0106,0.9529,reves,0.0
0.7008,-0.8478,-0.0956,0.0365,0.0106,0.9529,reves,0.0
0.7345,-0.934,-0.0226,0.0365,0.0106,0.9529,reves,0.0
0.7023,-1.035,0.0724,0.0365,0.0106,0.9529,reves,0.0
0.6871,-1.0916,0.1572,0.0365,0.0106,0.9529,reves,0.0
0.6832,-1.0525,0.1816,0.0365,0.0106,0.9529,reves,0.0
0.6469,-0.9745,0.1863,0.0365,0.0106,0.9529,reves,0.0
0.5992,-0.8939,0.2095,0.0365,0.0106,0.9529,reves,0.0
0.5695,-0.8131,0.2324,0.0365,0.0106,0.9529,reves,0.0
0.5421,-0.7498,0.2731,0.0365,0.0106,0.9529,reves,0.0
0.4973,-0.6964,0.3208,0.0365,0.0106,0.9529,reves,0.0
0.4452,-0.6639,0.4014,0.0365,0.0106,0.9529,reves,0.0
0.4235,-0.6005,0.4637,0.0365,0.0106,0.9529,reves,0.0
0.4043,-0.5126,0.5306,0.0365,0.0106,0.9529,reves,0.0
0.3782,-0.4342,0.6273,0.0365,0.0106,0.9529,reves,0.0
0.3206,-0.3485,0.7214,0.0365,0.0106,0.9529,reves,0.0
0.2496,-0.2585,0.7935,0.0365,0.0106,0.9529,reves,0.0
0.2019,-0.1681,0.8563,0.0365,0.0106,0.9529,reves,0.0
0.1267,-0.0265,0.896,0.0365,0.0106,0.9529,reves,0.0
0.0569,0.1364,0.9135,0.0365,0.0106,0.9529,reves,0.0
0.0006,0.2336,0.9519,0.0365,0.0106,0.9529,reves,0.0
-0.0394,0.2688,0.9902,0.0365,0.0106,0.9529,reves,0.0
-0.0527,0.2925,0.9906,0.0365,0.0106,0.9529,reves,0.0
-0.0549,0.2869,0.9474,0.0365,0.0106,0.9529,reves,0.0
-0.0281,0.2334,0.906,0.0365,0.0106,0.9529,reves,0.0
-0.0142,0.2068,0.8724,0.0365,0.0106,0.9529,reves,0.0
0.0017,0.1716,0.8726,0.0365,0.0106,0.9529,reves,0.0
0.0322,0.1544,0.8795,0.0365,0.0106,0.9529,reves,0.0
0.0481,0.1307,0.8768,0.0365,0.0106,0.9529,reves,0.0
0.0469,0.0937,0.8882,0.0365,0.0106,0.9529,reves,0.0
0.0358,0.0414,0.8701,0.0365,0.0106,0.9529,reves,0.0
0.0848,-0.0179,0.8087,0.0365,0.0106,0.9529,reves,0.0
0.1899,-0.0712,0.6967,0.0365,0.0106,0.9529,reves,0.0
0.3021,-0.1106,0.488,0.0365,0.0106,0.9529,reves,0.0
0.4175,-0.1989,0.14,0.0365,0.0106,0.9529,reves,0.0
0.5692,-0.4167,-0.1613,0.0365,0.0106,0.9529,reves,0.0
0.7711,-0.8666,-0.413,0.0365,0.0106,0.9529,reves,0.0
